user_id,model,choice_model,iteration,country,user_count,jsd,bin_jsd,us_proportion,local_proportion,interaction_us_proportion,interaction_local_proportion,interaction_jsd,interaction_bin_jsd,jsd_summarized,interaction_jsd_summarized
,BPR,consume_all,2,CZ,7,0.7459769109235669,0.30024750014670326,0.4857142857142857,0.0,0.2837370242214533,0.0,0.28080707922433473,0.07237786074606767,0.3374221583655799,0.12514472294722578
,BPR,consume_all,2,DE,45,0.6475854858698681,0.4603624084011268,0.5333333333333333,0.0022222222222222222,0.46368715083798884,0.012104283054003724,0.36900700491045324,0.20927968361691726,0.29363519904642216,0.17498340250419703
,BPR,consume_all,2,DK,7,0.614268603107101,0.382250856367456,0.5142857142857142,0.0,0.5130434782608696,0.008695652173913044,0.262670080273705,0.10058706490716106,0.2782182634941704,0.10676214680613112
,BPR,consume_all,2,DO,1,0.4635253466360789,0.3228643583175218,0.6,0.0,0.5138888888888888,0.0,0.09141102048818883,0.04301486348727333,0.08543510262458807,0.01179746386286692
,BPR,consume_all,2,DZ,1,0.5579230452841438,0.36035854513828797,0.3,0.0,0.4666666666666667,0.0,0.5063129622315622,0.18668571064673692,0.2581737925218739,0.11366845984477832
,BPR,consume_all,2,EE,3,0.5867193951067773,0.407679871736181,0.5,0.0,0.5157894736842106,0.0,0.14914038217470335,0.04803411468984267,0.08322158826266285,0.011399612881559837
,BPR,consume_all,2,EG,3,0.6739260850764005,0.14652664612210162,0.5333333333333333,0.0,0.35,0.0,0.2940772210920486,0.08151315551570115,0.21087030879276944,0.07361755809958305
,BPR,consume_all,2,ES,8,0.6414341142230481,0.32169209733948234,0.4625,0.0125,0.4966887417218543,0.006622516556291391,0.37260374880862707,0.10182271896011852,0.3663836554977862,0.2345808750291934
,BPR,consume_all,2,FI,22,0.6487685597704593,0.32535186204126065,0.5409090909090909,0.0,0.5362068965517242,0.0017241379310344827,0.3707286528131336,0.18448954266915543,0.38390558112750206,0.21612513681508572
,BPR,consume_all,2,FR,13,0.5794212739207693,0.4159351842738266,0.5384615384615384,0.046153846153846156,0.4865771812080537,0.0738255033557047,0.2975390222496442,0.17941450642162893,0.3367576122808805,0.15965720766448932
,BPR,consume_all,2,GR,5,0.6545994142949577,0.5583373683356354,0.64,0.0,0.4696132596685083,0.0,0.32454083960311786,0.22476345641312673,0.4061181797132615,0.17922824954135388
,BPR,consume_all,2,HR,3,0.5790500529630042,0.4988028465866707,0.5666666666666667,0.0,0.43137254901960786,0.0,0.4193273094646572,0.26061970227224907,0.31093882901547704,0.23358314564174806
,BPR,consume_all,2,HU,5,0.5695244647800102,0.45856599608499343,0.52,0.0,0.6106870229007634,0.0,0.2997776500476132,0.29596079901822103,0.32783835197734146,0.15129246757966267
,BPR,consume_all,2,ID,6,0.6238651745750053,0.29895766362368037,0.65,0.0,0.5130890052356021,0.0,0.31773954316173986,0.13744809709133804,0.23943802711403026,0.11156991702551654
,BPR,consume_all,2,IE,2,0.5657719487968627,0.27433907384974654,0.55,0.0,0.5121951219512195,0.0,0.14807124768235036,0.11877712382097427,0.11259083188932595,0.0748453407738687
,BPR,consume_all,2,IR,1,0.8511822659005843,1.0,0.5,0.0,0.4,0.0,0.6776045432457228,0.5342107556890658,0.5579230452841438,0.48626412335275976
,BPR,consume_all,2,IT,10,0.717586777449816,0.41196586344665526,0.56,0.0,0.45588235294117646,0.049019607843137254,0.4199276066204809,0.19039270779850087,0.3941824631408136,0.23669630922708973
,BPR,consume_all,2,JP,7,0.6755324153606159,0.3565836254501712,0.5857142857142857,0.02857142857142857,0.35555555555555557,0.0,0.33103433938886845,0.20751963865056852,0.37461697463588395,0.13945010955220857
